Model,MSE,RMSE,MAE,R^2
RNN,0.004701938124089025,0.06857067976977496,0.05733177442957106,0.9847906709607042
LSTM,0.00900890123197796,0.09491523182281103,0.08245673651168811,0.970858965068534
GRU,0.013950366460920972,0.11811166945277242,0.10225358215755512,0.9548748392421664
